,ID,innings,overs,ballnumber,batter,bowler,non-striker,extra_type,batsman_run,extras_run,total_run,non_boundary,isWicketDelivery,player_out,kind,fielders_involved,BattingTeam
103,1304047,1,16,4,MS Dhoni,SP Narine,RA Jadeja,,0,0,0,0,0,,,,Chennai Super Kings
104,1304047,1,16,5,MS Dhoni,SP Narine,RA Jadeja,,1,0,1,0,0,,,,Chennai Super Kings
105,1304047,1,16,6,RA Jadeja,SP Narine,MS Dhoni,,0,0,0,0,0,,,,Chennai Super Kings
106,1304047,1,17,1,MS Dhoni,AD Russell,RA Jadeja,,4,0,4,0,0,,,,Chennai Super Kings
107,1304047,1,17,2,MS Dhoni,AD Russell,RA Jadeja,,1,0,1,0,0,,,,Chennai Super Kings
108,1304047,1,17,3,RA Jadeja,AD Russell,MS Dhoni,,1,0,1,0,0,,,,Chennai Super Kings
109,1304047,1,17,4,MS Dhoni,AD Russell,RA Jadeja,,4,0,4,0,0,,,,Chennai Super Kings
110,1304047,1,17,5,MS Dhoni,AD Russell,RA Jadeja,,0,0,0,0,0,,,,Chennai Super Kings
111,1304047,1,17,6,MS Dhoni,AD Russell,RA Jadeja,,4,0,4,0,0,,,,Chennai Super Kings
112,1304047,1,18,1,RA Jadeja,Shivam Mavi,MS Dhoni,,0,0,0,0,0,,,,Chennai Super Kings
113,1304047,1,18,2,RA Jadeja,Shivam Mavi,MS Dhoni,,1,0,1,0,0,,,,Chennai Super Kings
114,1304047,1,18,3,MS Dhoni,Shivam Mavi,RA Jadeja,,1,0,1,0,0,,,,Chennai Super Kings
115,1304047,1,18,4,RA Jadeja,Shivam Mavi,MS Dhoni,wides,0,1,1,0,0,,,,Chennai Super Kings
116,1304047,1,18,5,RA Jadeja,Shivam Mavi,MS Dhoni,,1,0,1,0,0,,,,Chennai Super Kings
117,1304047,1,18,6,MS Dhoni,Shivam Mavi,RA Jadeja,,4,0,4,0,0,,,,Chennai Super Kings
118,1304047,1,18,7,MS Dhoni,Shivam Mavi,RA Jadeja,noballs,6,1,7,0,0,,,,Chennai Super Kings
119,1304047,1,18,8,MS Dhoni,Shivam Mavi,RA Jadeja,,0,0,0,0,0,,,,Chennai Super Kings
120,1304047,1,19,1,RA Jadeja,AD Russell,MS Dhoni,,1,0,1,0,0,,,,Chennai Super Kings
121,1304047,1,19,2,MS Dhoni,AD Russell,RA Jadeja,,2,0,2,0,0,,,,Chennai Super Kings
122,1304047,1,19,3,MS Dhoni,AD Russell,RA Jadeja,,4,0,4,0,0,,,,Chennai Super Kings
123,1304047,1,19,4,MS Dhoni,AD Russell,RA Jadeja,,4,0,4,0,0,,,,Chennai Super Kings
124,1304047,1,19,5,MS Dhoni,AD Russell,RA Jadeja,,1,0,1,0,0,,,,Chennai Super Kings
